YEAR,TIMESTAMP,RESOURCES,areaConsumption
2030,920,electricity,0
2030,921,electricity,0
2030,922,electricity,0
2030,923,electricity,0
2030,924,electricity,0
2030,925,electricity,0
2030,926,electricity,0
2030,927,electricity,0
2030,928,electricity,0
2030,929,electricity,0
2030,930,electricity,0
2030,931,electricity,0
2030,932,electricity,0
2030,933,electricity,0
2030,934,electricity,0
2030,935,electricity,0
2030,936,electricity,0
2030,937,electricity,0
2030,938,electricity,0
2030,939,electricity,0
2030,940,electricity,0
2030,941,electricity,0
2030,942,electricity,0
2030,943,electricity,0
2030,944,electricity,0
2030,945,electricity,0
2030,946,electricity,0
2030,947,electricity,0
2030,948,electricity,0
2030,949,electricity,0
2030,950,electricity,0
2030,951,electricity,0
2030,952,electricity,0
2030,953,electricity,0
2030,954,electricity,0
2030,955,electricity,0
2030,956,electricity,0
2030,957,electricity,0
2030,958,electricity,0
2030,959,electricity,0
2030,960,electricity,0
2030,961,electricity,0
2030,962,electricity,0
2030,963,electricity,0
2030,964,electricity,0
2030,965,electricity,0
2030,966,electricity,0
2030,967,electricity,0
2030,968,electricity,0
2030,969,electricity,0
2030,970,electricity,0
2030,971,electricity,0
2030,972,electricity,0
2030,973,electricity,0
2030,974,electricity,0
2030,975,electricity,0
2030,976,electricity,0
2030,977,electricity,0
2030,978,electricity,0
2030,979,electricity,0
2030,980,electricity,0
2030,981,electricity,0
2030,982,electricity,0
2030,983,electricity,0
2030,984,electricity,0
2030,985,electricity,0
2030,986,electricity,0
2030,987,electricity,0
2030,988,electricity,0
2030,989,electricity,0
2030,990,electricity,0
2030,991,electricity,0
2030,992,electricity,0
2030,993,electricity,0
2030,994,electricity,0
2030,995,electricity,0
2030,996,electricity,0
2030,997,electricity,0
2030,998,electricity,0
2030,999,electricity,0
2030,1000,electricity,0
2030,1001,electricity,0
2030,1002,electricity,0
2030,1003,electricity,0
2030,1004,electricity,0
2030,1005,electricity,0
2030,1006,electricity,0
2030,1007,electricity,0
2030,1008,electricity,0
2030,1009,electricity,0
2030,1010,electricity,0
2030,1011,electricity,0
2030,1012,electricity,0
2030,1013,electricity,0
2030,1014,electricity,0
2030,1015,electricity,0
2030,1016,electricity,0
2030,1017,electricity,0
2030,1018,electricity,0
2030,1019,electricity,0
2030,1020,electricity,0
2030,1021,electricity,0
2030,1022,electricity,0
2030,1023,electricity,0
2030,1024,electricity,0
2030,1025,electricity,0
2030,1026,electricity,0
2030,1027,electricity,0
2030,1028,electricity,0
2030,1029,electricity,0
2030,1030,electricity,0
2030,1031,electricity,0
2030,1032,electricity,0
2030,1033,electricity,0
2030,1034,electricity,0
2030,1035,electricity,0
2030,1036,electricity,0
2030,1037,electricity,0
2030,1038,electricity,0
2030,1039,electricity,0
2030,1040,electricity,0
2030,1041,electricity,0
2030,1042,electricity,0
2030,1043,electricity,0
2030,1044,electricity,0
2030,1045,electricity,0
2030,1046,electricity,0
2030,1047,electricity,0
2030,1048,electricity,0
2030,1049,electricity,0
2030,1050,electricity,0
2030,1051,electricity,0
2030,1052,electricity,0
2030,1053,electricity,0
2030,1054,electricity,0
2030,1055,electricity,0
2030,1056,electricity,0
2030,1057,electricity,0
2030,1058,electricity,0
2030,1059,electricity,0
2030,1060,electricity,0
2030,1061,electricity,0
2030,1062,electricity,0
2030,1063,electricity,0
2030,1064,electricity,0
2030,1065,electricity,0
2030,1066,electricity,0
2030,1067,electricity,0
2030,1068,electricity,0
2030,1069,electricity,0
2030,1070,electricity,0
2030,1071,electricity,0
2030,1072,electricity,0
2030,1073,electricity,0
2030,1074,electricity,0
2030,1075,electricity,0
2030,1076,electricity,0
2030,1077,electricity,0
2030,1078,electricity,0
2030,1079,electricity,0
2030,1080,electricity,0
2030,1081,electricity,0
2030,1082,electricity,0
2030,1083,electricity,0
2030,1084,electricity,0
2030,1085,electricity,0
2030,1086,electricity,0
2030,1087,electricity,0
2030,1088,electricity,0
2030,1089,electricity,0
2030,1090,electricity,0
2030,1091,electricity,0
2030,1092,electricity,0
2030,1093,electricity,0
2030,1094,electricity,0
2030,1095,electricity,0
2030,1096,electricity,0
2030,1097,electricity,0
2030,1098,electricity,0
2030,1099,electricity,0
2030,1100,electricity,0
2030,1101,electricity,0
2030,1102,electricity,0
2030,1103,electricity,0
2030,1104,electricity,0
2030,1105,electricity,0
2030,1106,electricity,0
2030,1107,electricity,0
2030,1108,electricity,0
2030,1109,electricity,0
2030,1110,electricity,0
2030,1111,electricity,0
2030,1112,electricity,0
2030,1113,electricity,0
2030,1114,electricity,0
2030,1115,electricity,0
2030,1116,electricity,0
2030,1117,electricity,0
2030,1118,electricity,0
2030,1119,electricity,0
2030,1120,electricity,0
2030,1121,electricity,0
2030,1122,electricity,0
2030,1123,electricity,0
2030,1124,electricity,0
2030,1125,electricity,0
2030,1126,electricity,0
2030,1127,electricity,0
2030,1128,electricity,0
2030,1129,electricity,0
2030,1130,electricity,0
2030,1131,electricity,0
2030,1132,electricity,0
2030,1133,electricity,0
2030,1134,electricity,0
2030,1135,electricity,0
2030,1136,electricity,0
2030,1137,electricity,0
2030,1138,electricity,0
2030,1139,electricity,0
2030,1140,electricity,0
2030,1141,electricity,0
2030,1142,electricity,0
2030,1143,electricity,0
2030,1144,electricity,0
2030,1145,electricity,0
2030,1146,electricity,0
2030,1147,electricity,0
2030,1148,electricity,0
2030,1149,electricity,0
2030,1150,electricity,0
2030,1151,electricity,0
2030,1152,electricity,0
2030,1153,electricity,0
2030,1154,electricity,0
2030,1155,electricity,0
2030,1156,electricity,0
2030,1157,electricity,0
2030,1158,electricity,0
2030,1159,electricity,0
2030,1160,electricity,0
2030,1161,electricity,0
2030,1162,electricity,0
2030,1163,electricity,0
2030,1164,electricity,0
2030,1165,electricity,0
2030,1166,electricity,0
2030,1167,electricity,0
2030,1168,electricity,0
2030,1169,electricity,0
2030,1170,electricity,0
2030,1171,electricity,0
2030,1172,electricity,0
2030,1173,electricity,0
2030,1174,electricity,0
2030,1175,electricity,0
2030,1176,electricity,0
2030,1177,electricity,0
2030,1178,electricity,0
2030,1179,electricity,0
2030,1180,electricity,0
2030,1181,electricity,0
2030,1182,electricity,0
2030,1183,electricity,0
2030,1184,electricity,0
2030,1185,electricity,0
2030,1186,electricity,0
2030,1187,electricity,0
2030,1188,electricity,0
2030,1189,electricity,0
2030,1190,electricity,0
2030,1191,electricity,0
2030,1192,electricity,0
2030,1193,electricity,0
2030,1194,electricity,0
2030,1195,electricity,0
2030,1196,electricity,0
2030,1197,electricity,0
2030,1198,electricity,0
2030,1199,electricity,0
2030,1200,electricity,0
2030,1201,electricity,0
2030,1202,electricity,0
2030,1203,electricity,0
2030,1204,electricity,0
2030,1205,electricity,0
2030,1206,electricity,0
2030,1207,electricity,0
2030,1208,electricity,0
2030,1209,electricity,0
2030,1210,electricity,0
2030,1211,electricity,0
2030,1212,electricity,0
2030,1213,electricity,0
2030,1214,electricity,0
2030,1215,electricity,0
2030,1216,electricity,0
2030,1217,electricity,0
2030,1218,electricity,0
2030,1219,electricity,0
2030,1220,electricity,0
2030,1221,electricity,0
2030,1222,electricity,0
2030,1223,electricity,0
2030,1224,electricity,0
2030,1225,electricity,0
2030,1226,electricity,0
2030,1227,electricity,0
2030,1228,electricity,0
2030,1229,electricity,0
2030,1230,electricity,0
2030,1231,electricity,0
2030,1232,electricity,0
2030,1233,electricity,0
2030,1234,electricity,0
2030,1235,electricity,0
